"country","continent","lifeExp_1952","gdpPercap_1952","lifeExp_2007","gdpPercap_2007","lifeExp_증감","gdp_CAGR"
"Ethiopia","Africa",34.078,362.1462796,52.947,690.8055759,18.869,0.0118112115830917
"Finland","Europe",66.55,6424.519071,79.313,33207.0844,12.763,0.0303166770427499
"France","Europe",67.41,7029.809327,80.657,30470.0167,13.247,0.0270238520033421
"Gabon","Africa",37.003,4293.476475,56.735,13206.48452,19.732,0.020639400707227
"Gambia","Africa",30,485.2306591,59.448,752.7497265,29.448,0.00801574526014126
"Germany","Europe",67.5,7144.114393,79.406,32170.37442,11.906,0.0277369205686302
"Ghana","Africa",43.149,911.2989371,60.022,1327.60891,16.873,0.00686461429969576
"Greece","Europe",65.86,3530.690067,79.483,27538.41188,13.623,0.0380532286185609
"Guatemala","Americas",42.023,2428.237769,70.259,5186.050003,28.236,0.0138920930664574
"Guinea","Africa",33.609,510.1964923,56.007,942.6542111,22.398,0.0112244097806657
"Guinea-Bissau","Africa",32.5,299.850319,46.388,579.231743,13.888,0.0120432010567042
"Haiti","Americas",37.579,1840.366939,60.916,1201.637154,23.337,-0.00772058838245882
"Honduras","Americas",41.912,2194.926204,70.198,3548.330846,28.286,0.00877149851949754
"Hong Kong, China","Asia",60.96,3054.421209,82.208,39724.97867,21.248,0.0477483736550466
"Hungary","Europe",64.03,5263.673816,73.338,18008.94444,9.30799999999999,0.0226163081689374
"Iceland","Europe",72.49,7267.688428,81.757,36180.78919,9.26700000000001,0.0296134646449993
"India","Asia",37.373,546.5657493,64.698,2452.210407,27.325,0.0276684077333338
"Indonesia","Asia",37.468,749.6816546,70.65,3540.651564,33.182,0.0286278922923007
"Iran","Asia",44.869,3035.326002,70.964,11605.71449,26.095,0.0246848158666979
"Iraq","Asia",45.32,4129.766056,59.545,4471.061906,14.225,0.00144477327971138
"Ireland","Europe",66.91,5210.280328,78.885,40675.99635,11.975,0.0380705170797502
"Israel","Asia",65.39,4086.522128,80.745,25523.2771,15.355,0.0338681058387091
"Italy","Europe",65.94,4931.404155,80.546,28569.7197,14.606,0.0324559998673695
"Jamaica","Americas",58.53,2898.530881,72.567,7320.880262,14.037,0.0169886303842677
"Japan","Asia",63.03,3216.956347,82.603,31656.06806,19.573,0.0424488631678028
"Jordan","Asia",43.158,1546.907807,72.535,4519.461171,29.377,0.0196845961633603
"Kenya","Africa",42.27,853.540919,54.11,1463.249282,11.84,0.0098485682234517
"Korea, Dem. Rep.","Asia",50.056,1088.277758,67.297,1593.06548,17.241,0.00695248850414654
"Korea, Rep.","Asia",47.453,1030.592226,78.623,23348.13973,31.17,0.0583745089981851
"Kuwait","Asia",55.565,108382.3529,77.588,47306.98978,22.023,-0.0149598315976878
"Lebanon","Asia",55.928,4834.804067,71.993,10461.05868,16.065,0.0141319996298963
"Lesotho","Africa",42.138,298.8462121,42.592,1569.331442,0.454000000000001,0.0306133462458604
"Liberia","Africa",38.48,575.5729961,45.678,414.5073415,7.198,-0.00595086618866869
"Libya","Africa",42.723,2387.54806,73.952,12057.49928,31.229,0.0298817584230391
"Madagascar","Africa",36.681,1443.011715,59.443,1044.770126,22.762,-0.00585435087657094
"Malawi","Africa",36.256,369.1650802,48.303,759.3499101,12.047,0.0131994218677689
"Malaysia","Asia",48.463,1831.132894,74.241,12451.6558,25.778,0.0354675548110071
"Mali","Africa",33.685,452.3369807,54.467,1042.581557,20.782,0.0152981596372668
"Mauritania","Africa",40.543,743.1159097,64.164,1803.151496,23.621,0.0162476571925176
"Mauritius","Africa",50.986,1967.955707,72.801,10956.99112,21.815,0.031710250035069
"Mexico","Americas",50.789,3478.125529,76.195,11977.57496,25.406,0.0227372316982086
"Mongolia","Asia",42.244,786.5668575,66.803,3095.772271,24.559,0.0252240570281357
"Montenegro","Europe",59.164,2647.585601,74.543,9253.896111,15.379,0.02301348043833
"Morocco","Africa",42.873,1688.20357,71.164,3820.17523,28.291,0.0149586187195327
"Mozambique","Africa",31.286,468.5260381,42.082,823.6856205,10.796,0.0103109268399306
"Myanmar","Asia",36.319,331,62.069,944,25.75,0.0192373862351689
"Namibia","Africa",41.725,2423.780443,52.906,4811.060429,11.181,0.012543270305803
"Nepal","Asia",36.157,545.8657229,63.785,1091.359778,27.628,0.0126761550469352
"Netherlands","Europe",72.13,8941.571858,79.762,36797.93332,7.63200000000001,0.0260560438121151
"New Zealand","Oceania",69.39,10556.57566,80.204,25185.00911,10.814,0.0159347155309506
"Nicaragua","Americas",42.314,3112.363948,72.899,2749.320965,30.585,-0.00225252452287261
"Niger","Africa",37.444,761.879376,56.867,619.6768924,19.423,-0.00374913697110579
"Nigeria","Africa",36.324,1077.281856,46.859,2013.977305,10.535,0.0114407772599314
"Norway","Europe",72.67,10095.42172,80.196,49357.19017,7.526,0.0292748975774035
"Oman","Asia",37.578,1828.230307,75.64,22316.19287,38.062,0.0465408074324738
"Pakistan","Asia",43.436,684.5971438,65.483,2605.94758,22.047,0.0246017697574217
"Panama","Americas",55.191,2480.380334,75.537,9809.185636,20.346,0.0253133932906515
"Paraguay","Americas",62.649,1952.308701,71.752,4172.838464,9.10299999999999,0.0139064229084627
"Peru","Americas",43.902,3758.523437,71.421,7408.905561,27.519,0.0124156522040872
"Philippines","Asia",47.752,1272.880995,71.688,3190.481016,23.936,0.0168474138186006
"Poland","Europe",61.31,4029.329699,75.563,15389.92468,14.253,0.0246649604073599
"Portugal","Europe",59.82,3068.319867,78.098,20509.64777,18.278,0.0351446615527529
"Puerto Rico","Americas",64.28,3081.959785,78.746,19328.70901,14.466,0.0339457282856197
"Reunion","Africa",52.724,2718.885295,76.442,7670.122558,23.718,0.019035464273891
"Romania","Europe",61.05,3144.613186,72.476,10808.47561,11.426,0.0227018470006581
"Rwanda","Africa",40,493.3238752,46.242,863.0884639,6.242,0.0102219138520694
"Sao Tome and Principe","Africa",46.471,879.5835855,65.528,1598.435089,19.057,0.0109197676675752
"Saudi Arabia","Asia",39.875,6459.554823,72.777,21654.83194,32.902,0.0222376177805585
"Senegal","Africa",37.278,1450.356983,63.062,1712.472136,25.784,0.00302508087348552
"Serbia","Europe",57.996,3581.459448,74.002,9786.534714,16.006,0.0184450845169453
"Sierra Leone","Africa",30.331,879.7877358,42.568,862.5407561,12.237,-0.000359903724929667
"Singapore","Asia",60.396,2315.138227,79.972,47143.17964,19.576,0.0563239490815841
"Slovak Republic","Europe",64.36,5074.659104,74.663,18678.31435,10.303,0.0239757012432087
"Slovenia","Europe",65.57,4215.041741,77.926,25768.25759,12.356,0.0334656772162853
"Somalia","Africa",32.978,1135.749842,48.159,926.1410683,15.181,-0.0037026156405856
"South Africa","Africa",45.009,4725.295531,49.339,9269.657808,4.33,0.0123265599808127
"Spain","Europe",64.94,3834.034742,80.941,28821.0637,16.001,0.037357028589013
"Sri Lanka","Asia",57.593,1083.53203,72.396,3970.095407,14.803,0.0238911836131956
"Sudan","Africa",38.635,1615.991129,58.556,2602.394995,19.921,0.00870097537707504
"Swaziland","Africa",41.407,1148.376626,39.613,4513.480643,-1.794,0.0251980418439095
"Sweden","Europe",71.86,8527.844662,80.884,33859.74835,9.024,0.0253876462825273
"Switzerland","Europe",69.62,14734.23275,81.701,37506.41907,12.081,0.0171330898133
"Syria","Asia",45.883,1643.485354,74.143,4184.548089,28.26,0.0171375460382885
"Taiwan","Asia",58.5,1206.947913,78.4,28718.27684,19.9,0.0593189089159083
"Tanzania","Africa",41.215,716.6500721,52.517,1107.482182,11.302,0.0079451553987433
"Thailand","Asia",50.848,757.7974177,70.616,7458.396327,19.768,0.0424523778220658
"Togo","Africa",38.596,859.8086567,58.42,882.9699438,19.824,0.000483412970222918
"Trinidad and Tobago","Americas",59.1,3023.271928,69.819,18008.50924,10.719,0.032977635968757
"Tunisia","Africa",44.6,1468.475631,73.923,7092.923025,29.323,0.0290479436491835
"Turkey","Europe",43.585,1969.10098,71.777,8458.276384,28.192,0.026855523035282
"Uganda","Africa",39.978,734.753484,51.542,1056.380121,11.564,0.00662307832140074
"United Kingdom","Europe",69.18,9979.508487,79.425,33203.26128,10.245,0.0220972286948862
"United States","Americas",68.44,13990.48208,78.242,42951.65309,9.80200000000001,0.020603896079076
"Uruguay","Americas",66.071,5716.766744,76.384,10611.46299,10.313,0.0113095004543
"Venezuela","Americas",55.088,7689.799761,73.747,11415.80569,18.659,0.00720957593075422
"Vietnam","Asia",40.412,605.0664917,74.249,2441.576404,33.837,0.0256891644326924
"West Bank and Gaza","Asia",43.16,1515.592329,73.422,3025.349798,30.262,0.0126469480091522
"Yemen, Rep.","Asia",32.548,781.7175761,62.698,2280.769906,30.15,0.0196593828623914
"Zambia","Africa",42.038,1147.388831,42.384,1271.211593,0.346000000000004,0.00186504024580736
"Zimbabwe","Africa",48.451,406.8841148,43.487,469.7092981,-4.964,0.00261405750550581
